One Island East,,"142,792"
4 World Trade Center,2008,"232,258"
Eureka Tower,2001,"123,000"
Comcast Center,2005,"130,064"
Landmark Tower,,"392,791"
R&F Yingkai Square,2008,"142,956"
Emirates Crown,2005,
China World Trade Center Phase 3B,2013,"225,806"
Xiamen Shimao Straits Tower B,2011,
Millennium Hotel,2004,
Riverfront Times Square,2012,
Ping An Finance Center South,2015,
311 South Wacker Drive,1988,"130,942"
Sky Tower,2006,
Haeundae I Park Marina Tower 2,2007,
SEG Plaza,,"169,083"
220 Central Park South,2014,"38,494"
70 Pine,1930,"80,360"
Concord International Centre,2012,"111,919"
Powerlong Center Tower 1,2011,
Dongguan TBA Tower,2008,"280,000"
Busan International Finance Center Landmark Tower,2011,
Key Tower,1988,"116,127"
China Chuneng Tower,2013,
Plaza 66,1994,"131,100"
One Liberty Place,,"111,483"
Sulafa Tower,2006,"107,300"
Kaisa Center,2009,
Yingli International Finance Centre,2009,"173,500"
Shaoxing Shimao Crowne Plaza,2008,"101,521"
Soochow International Plaza East Tower,2010,
Soochow International Plaza West Tower,2010,
United International Mansion,1998,"117,138"
HNA&POLY International Centre,2007,
Huaxun Center,2014,
Gama Tower,2011,"163,466"
Millennium Tower,2004,"99,800"
Tomorrow Square,1997,"93,000"
Columbia Center,1982,"142,891"
JW Marriott Panama,2007,"252,000"
Skyland Office Tower,2013,
Skyland Residential Tower,2013,
Three International Finance Center,2007,"130,940"
Greenland Zhengzhou Central Plaza South Tower,2012,
Zhengzhou Greenland Central Plaza North Tower,2012,
Tanjong Pagar Centre,2013,
Chongqing World Trade Center,,
Cheung Kong Centre,,"125,418"
GT Land Landmark Plaza South Tower,2010,
The Trump Building,1929,"103,278"
30 Park Place,2008,"63,453"
City of Lights C1 Tower,2009,
Al Hekma Tower,2006,
Suzhou RunHua Global Building A,2007,"78,804"
Doosan Haeundae We've the Zenith Tower B,2007,"120,136"
Bank of America Plaza,1983,"171,312"
Torre Vitri,2007,
Lanzhou City Plaza Building 1,2015,
Marina Pinnacle,2005,
United Overseas Bank Plaza One,,"92,902"
China Resources Center 2,2012,
Excellence Century Plaza Tower 1,2007,"115,000"
Metropol Tower Istanbul,2013,
Zhengzhou Greenland Plaza,2007,"240,169"
The Address Residence - Fountain Views I,2014,
The Address Residence - Fountain Views II,2014,
Bodi Center Tower C,2013,
Treasury Tower,2013,
Eton Place Dalian Tower 2,2008,"90,533"
Torre KOI,2013,"1,900"
Abraj Al Bait ZamZam Tower,,
601 Lexington,1974,"146,683"
The Astaka Tower A,2014,"68,462"
15 Hudson Yards,2014,"91,070"
Hong Kong New World Tower,1998,"136,833"
Logan International Headquarters Tower 1,2014,
Overseas Union Bank Centre,1982,"101,784"
Etihad Towers T1,2007,"70,908"
D1 Tower,2007,"88,228"
The St. Regis Toronto,2007,"74,510"
World Trade Center Abu Dhabi - The Offices,2007,"90,000"
Republic Plaza,1993,"91,782"
Abraj Al Bait Hajar Tower,,
Diwang International Commerce Center,2003,
Tianyue Xinchen Tower 1,2014,
Scotia Tower,1985,"148,658"
Riverside Century Plaza Main Tower,2011,
Williams Tower,1981,"148,644"
Victoria Dockside,2013,"127,858"
Ilham Tower,2010,"8,250"
Nantong Zhongnan International Plaza,2008,"118,732"
Shenzhen Bay Ecocity B-Tech Tower 1,2014,
NEO Tower A,2007,
Shimao International Center Office Tower,2010,
Haeundae I Park Marina Tower 1,2007,
Lotte Center Hanoi,2009,"247,078"
Burj Vista Tower 1,2013,
Central Financial Street Tower,2014,
Taipei Nan Shan Plaza,2013,"79,599"
Aura at College Park,2010,"123,732"
Shanghai Wheelock Square,2003,"114,075"
Renaissance Tower,,"160,814"
Ryomyong Street Apartment Building,2016,
Tianhui Plaza C3,2012,
Greenland Center Tower 1,2013,
Greenland Center Tower 2,2013,
Bohai Bank Tower,2010,
The Cullinan I,,
The Cullinan II,,
Huayuan Center Tower 7,2012,
Four Seasons Hotel,2010,
Brisbane Skytower,2015,"120,400"
China International Center Tower B,2003,"87,464"
Dapeng International Plaza,2003,"131,792"
One Lujiazui,,"111,793"
Radisson Royal Hotel Dubai,2007,
21st Century Tower,2001,"86,000"
Tongde Kunming Plaza,2012,
Mandarin Oriental Residences Bangkok,2015,
Naberezhnaya Tower Block C,2005,"136,651"
DAMAC Paramount Hotel & Residences,2013,
"DAMAC Towers by Paramount, Tower 1",2013,
"DAMAC Towers By Paramount, Tower 2",2013,
"DAMAC Towers by Paramount, Tower 3",2013,
Victoria Square 1,2012,
Victoria Square 2,2012,
