Shimao International Plaza,Shanghai,CN,333.3,91600,60,2001,2006,concrete,hotel / office / retail
Rose Rayhaan by Rotana,Dubai,AE,333,50569,71,2004,2007,composite,hotel
Minsheng Bank Building,Wuhan,CN,331,110000,68,2001,2008,steel,office
China World Tower,Beijing,CN,330,280000,74,2005,2010,composite,hotel / office
Yuexiu Fortune Center Tower 1,Wuhan,CN,330,205600,68,2012,2017,composite,office
Hon Kwok City Center,Shenzhen,CN,329.4,,80,2010,2017,composite,residential / office
3 World Trade Center,New York City,US,328.9,260129,69,2010,2018,composite,office
Zhuhai St. Regis Hotel & Office Tower,Zhuhai,CN,328.8,,66,2013,2017,composite,hotel / office
Keangnam Hanoi Landmark Tower,Hanoi,VN,328.6,,72,2008,2012,concrete,hotel / residential / office
Longxi International Hotel,Wuxi,CN,328,,72,2007,2011,composite,residential / hotel
Al Yaqoub Tower,Dubai,AE,328,,69,2006,2013,concrete,hotel / office
Wuxi Suning Plaza 1,Wuxi,CN,328,116580,67,2010,2014,composite,hotel / serviced apartments / office
Baoneng Center,Shenzhen,CN,327.3,,65,2014,2018,composite,office
Salesforce Tower,San Francisco,US,326.1,130064,61,2014,2018,composite,office
The Index,Dubai,AE,326,170400,80,2005,2010,concrete,residential / office
The Landmark,Abu Dhabi,AE,324,158645,72,2006,2013,concrete,residential / office
Deji Plaza,Nanjing,CN,324,150500,62,2009,2013,composite,hotel / office
Yantai Shimao No. 1 The Harbour,Yantai,CN,323,277000,59,2008,2017,composite,residential / hotel / office
Q1 Tower,Gold Coast,AU,322.5,107510,78,2002,2005,concrete,residential
Wenzhou Trade Center,Wenzhou,CN,321.9,174361,68,2002,2011,concrete,hotel / office
Guangxi Finance Plaza,Nanning,CN,321,219000,68,2010,2017,composite,hotel / office
Burj Al Arab,Dubai,AE,321,120000,56,1994,1999,composite,hotel
Nina Tower,Hong Kong,CN,320.4,,80,1999,2006,concrete,hotel / office
Sinar Mas Center 1,Shanghai,CN,320,,65,2009,2017,composite,office
Chrysler Building,New York City,US,318.9,111201,77,1928,1930,steel,office
Global City Square,Guangzhou,CN,318.9,180649,67,2011,2016,composite,office
New York Times Tower,New York City,US,318.8,143601,52,2004,2007,steel,office
Jiuzhou International Tower,Nanning,CN,318,,71,2012,2017,composite,office
