Le Bonheur Children's Medical Center Tower,2010,327000000
Escala Midtown,2009,325000000
Multnomah County Central Courthouse,2020,324000000
Loews Kansas City Convention Center Hotel,2020,322000000
MesseTurm,1990,322000000
Jewelry Trade Center,1996,322000000
Steel Tower,2014,321451000
Upper West,2017,320122000
CBC Broadcast Centre,1992,320000000
Tower at Turning Stone Hotel,2004,308000000
Q1 Tower,2005,307000000
Hilton Baltimore Inner Harbor,2008,301000000
Liberty Mutual Tower,2013,300000000
La Crosse Tower 1,2012,300000000
Vogue South Yarra,2012,300000000
Seven 17 Bourke Street,2010,300000000
Aqua,2009,300000000
The Residences at the Ritz-Carlton,2011,300000000
The Legacy at Millennium Park,2010,300000000
275 George Street,2009,300000000
Bay Adelaide West,2009,300000000
Almaty JW Marriott Hotel,2008,300000000
BioScience Research Collaborative,2009,300000000
Trump International Hotel Tower I,2008,300000000
Millennium Tower,2009,300000000
Russell Investments Center,2006,300000000
Imperia Tower,2011,300000000
MTA Building,1995,300000000
23 Marina,2012,298300000
OUS/OHSU Collaborative Life Sciences Building & OHSU Skourtes Tower,2014,295000000
Jamieson Place,2010,295000000
Mary Catherine Bunting Center,2010,292000000
Federal Office Building,1994,292000000
Kaleida Health Gates Vascular Institute,2011,291000000
Pierce Boston,2018,290000000
Augustus Tower,2005,289000000
CITIC Plaza,1997,285900000
Grand Hyatt San Antonio,2008,285000000
Hilton Americas-Houston,2003,285000000
Columbia Center,1985,285000000
One Peking Road,2003,282051000
Arsenal House,2004,281500000
Salesforce Tower,2018,280000000
Four Seasons Hotel & Tower,2003,280000000
Commerzbank Tower,1997,280000000
Regione Piemonte Tower,2019,275617000
888 Boylston Street,2016,275000000
Choctaw Durant Spa Tower,2015,275000000
